metric,value
overall_cagr,-1.7778570018389672e-06
overall_sharpe,0.001680069972123387
overall_sortino,0.0026246101744930453
overall_volatility,0.0042126013425376006
overall_calmar,-0.0010131240611405468
overall_hit_rate,0.01593625498007968
overall_avg_win,0.001477271582648737
overall_avg_loss,-0.0014755092376883688
overall_var_5pct,0.0
overall_cvar_5pct,-2.3894886440297473e-05
overall_max_drawdown,-0.0017548265508939797
overall_max_drawdown_peak_date,2022-03-29 00:00:00-04:00
overall_max_drawdown_trough_date,2022-11-23 00:00:00-05:00
stability_fast_mean,10.0
stability_fast_std,0.0
stability_fast_cv,0.0
stability_slow_mean,50.0
stability_slow_std,0.0
stability_slow_cv,0.0
stability_parameter_changes,0
consistency_cagr_mean,-1.7816999001163403e-06
consistency_cagr_std,1.4744206894290457e-07
consistency_cagr_cv,0
consistency_sharpe_mean,0.0016724025278076007
consistency_sharpe_std,0.00016688942362960398
consistency_sharpe_cv,0.09979022445534329
consistency_max_dd_mean,-0.0016232189260538092
consistency_max_dd_std,0.00013160762484015732
consistency_positive_periods,0
consistency_win_rate,0.0
