window,is_start,is_end,oos_start,oos_end,best_fast,best_slow,best_is_metric,oos_equity_curve,oos_metrics,success,error
1,2020-01-01,2021-01-01,2021-01-01,2022-01-01,10,50,0.0009605366992400509,"Date
2021-01-04 00:00:00-05:00    100000.000000
2021-01-05 00:00:00-05:00    100000.000000
2021-01-06 00:00:00-05:00    100000.000000
2021-01-07 00:00:00-05:00    100000.000000
2021-01-08 00:00:00-05:00    100000.000000
                                 ...      
2021-12-27 00:00:00-05:00     99999.837223
2021-12-28 00:00:00-05:00     99999.837223
2021-12-29 00:00:00-05:00     99999.837223
2021-12-30 00:00:00-05:00     99999.837223
2021-12-31 00:00:00-05:00     99999.837223
Name: total_equity, Length: 252, dtype: float64","{'cagr': np.float64(-1.6342578311734357e-06), 'sharpe': np.float64(0.0015055131041779967), 'sortino': np.float64(0.0039905923689635674), 'volatility': np.float64(0.0038708441213313005), 'calmar': np.float64(-0.0010956325081767073), 'hit_rate': np.float64(0.01593625498007968), 'avg_win': np.float64(0.0013614977500962522), 'avg_loss': np.float64(-0.0013600466298147318), 'var_5pct': np.float64(0.0), 'cvar_5pct': np.float64(-2.2025046636675817e-05), 'max_drawdown': np.float64(-0.001491611301213652), 'max_drawdown_peak_date': Timestamp('2021-10-28 00:00:00-0400', tz='America/New_York'), 'max_drawdown_trough_date': Timestamp('2021-10-29 00:00:00-0400', tz='America/New_York')}",True,
2,2021-01-01,2022-01-01,2022-01-01,2023-01-01,10,50,0.0015055131041779967,"Date
2022-01-03 00:00:00-05:00    100000.000000
2022-01-04 00:00:00-05:00    100000.000000
2022-01-05 00:00:00-05:00    100000.000000
2022-01-06 00:00:00-05:00    100000.000000
2022-01-07 00:00:00-05:00    100000.000000
                                 ...      
2022-12-23 00:00:00-05:00     99999.808617
2022-12-27 00:00:00-05:00     99999.808617
2022-12-28 00:00:00-05:00     99999.808617
2022-12-29 00:00:00-05:00     99999.808617
2022-12-30 00:00:00-05:00     99999.808617
Name: total_equity, Length: 251, dtype: float64","{'cagr': np.float64(-1.929141969059245e-06), 'sharpe': np.float64(0.0018392919514372047), 'sortino': np.float64(0.0034491931608334313), 'volatility': np.float64(0.004545571342825624), 'calmar': np.float64(-0.0010993348419970487), 'hit_rate': np.float64(0.016), 'avg_win': np.float64(0.0015930454152012774), 'avg_loss': np.float64(-0.0015909718455620059), 'var_5pct': np.float64(0.0), 'cvar_5pct': np.float64(-2.586946090344725e-05), 'max_drawdown': np.float64(-0.0017548265508939666), 'max_drawdown_peak_date': Timestamp('2022-03-29 00:00:00-0400', tz='America/New_York'), 'max_drawdown_trough_date': Timestamp('2022-11-23 00:00:00-0500', tz='America/New_York')}",True,
